title,cover,genre,topics,last,first,fullname,usbn,asin,pages,avg_rating,num_ratings,date_pub,edition,rating,review,date_started,date_read,date_added,month
Between the World and Me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451435027l/25489625._SY475_.jpg,memoir,"race, family, black experience",Coates,Ta-Nehisi ,Ta-Nehisi Coates,isbn    0812993543,asin,152,4.38,"250,254",2015-07-14," edition      Jul 14, 2015",5,"A poetic, raw, and unapologetic window into the Black experience. Coates' prose is masterful.",2020-07-02,2020-07-03,2020-07-03,Jul
Dandelions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488557040l/34390243.jpg,literary fiction,"mental health, family",Kawabata,Yasunari ,Yasunari Kawabata,isbn    0811224090,asin,128,3.47,714,1905-05-17," edition      Dec 12, 2017",4,"Strange and splintered, this unfinished novel feels more like a loosely woven series of poems than a story. Even without closure, something still stays with you at the end.",2020-05-20,2020-05-25,2020-05-20,May
Cloud Atlas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563042852l/49628._SX318_.jpg,sci-fi,"capitalism, human greed, survival",Mitchell,David ,David Mitchell,isbn    0375507256,asin,509,4,"221,415",2004-03-01," edition      Aug 17, 2004",4,"The breadth of styles, stories, language and character in this single book is very impressive. Though it took hundreds of pages to adopt any sort of plot, the final 10 percent is virtuosic. Mitchell is uniquely talented to weave together such different stories into a recurring question: "".. what is any ocean but a multitude of drops?""",2020-09-07,2020-09-27,2020-05-17,Sep
Martin Dressler: The Tale of an American Dreamer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431256217l/146219.jpg,literary fiction,"restlessness, capitalism, American dream",Millhauser,Steven ,Steven Millhauser,isbn    0679781277,asin,293,3.57,"9,347",1996-03-25," edition      Mar 25, 1997",5,Brilliantly captures the often self-destructive restlessness of American progress.,2020-04-18,2020-05-17,2020-04-18,May
The Colossus and Other Poems,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403184758l/11627.jpg,poetry,"death, loss",Plath,Sylvia ,Sylvia Plath,isbn    0375704469,asin,84,4.19,"10,378",1905-05-13," edition      May 19, 1998",4,"Dark, haunting, and beautiful. Plath's poems pulled me into a world of gray, where death was not something to be feared but observed.",2020-04-12,2020-04-12,2020-04-12,Apr
Utopia for Realists: How We Can Build the Ideal World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532031994l/40876575._SX318_.jpg,non-fiction,"basic income, health care, democratic socialism",Bregman,Rutger ,Rutger Bregman,isbn,asin    B01MXDBTWM,262,4.25,"19,679",2014-09-14," edition      Mar 14, 2017",4,"Brennan's ideas are bold and unapologetically ambitious. It can be hard to keep up with all the studies referenced, but his writing is compelling enough to make you think twice. Big ideas have changed the world before; Brennan gives a strong case for ideas that can change the world now.",2020-08-20,2020-09-01,2020-03-24,Sep
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594559067l/18693771._SY475_.jpg,non-fiction,"mental health, trauma, non-fiction",van der Kolk,Bessel A. ,Bessel A. van der Kolk,isbn    0670785938,asin,443,4.46,"43,460",2014-06-12," edition      Sep 25, 2014",3,"
An insightful and research heavy journey into the intrinsic link between body and mind. Learned quite a bit, but almost too many studies, examples, stories, etc to remember everything by the end. A dense read.",2020-07-03,2020-07-05,2020-03-22,Jul
A Thousand Splendid Suns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969l/128029.jpg,literary fiction,"family, religion, war",Hosseini,Khaled ,Khaled Hosseini,isbn    1594489505,asin,372,4.38,"1,173,855",2007-05-22," edition      Jun 01, 2007",5,"Heartbreaking, brutal, and unapologetically raw. But still, there is hope. Hosseini is a masterful storyteller.
            ",2020-03-15,2020-03-24,2020-03-15,Mar
The Souls of Black Folk,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309202855l/318742.jpg,essays,"race, black experience",Du Bois,W.E.B. ,W.E.B. Du Bois,isbn,asin,288,4.26,"36,729",1903-04-18," edition      Sep 26, 1996",4,Du Bois writes with sharp eloquence. His journalism reads like poetry. His critique of the post-slavery South spares no punches. A must read for understanding the reconstruction era and transition from slavery to Jim Crow.,2020-02-25,2020-03-15,2020-02-25,Mar
Maeve in America: Essays by a Girl from Somewhere Else,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536182138l/36906099._SY475_.jpg,essays,"coming-of-age, city life, comedy",Higgins,Maeve ,Maeve Higgins,isbn    0143130161,asin,256,3.57,"1,995",2018-08-07," edition      Aug 07, 2018",3,"This memoir made me chuckle in a few spots, but I wouldn't call it hilarious. Most essays felt a bit too self-involved (which to be fair, is fundamental to being a memoir). Was hoping for better, but not disappointed that I read it.",2020-03-24,2020-03-31,2020-02-18,Mar
Comedy Sex God,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549264871l/36300679.jpg,memoir,"comedy, spirituality",Holmes,Pete ,Pete Holmes,isbn    0062803999,asin,320,3.66,"5,551",2019-05-14," edition      May 14, 2019",4,"Hilarious, unfiltered, mystical magic. Pete Holmes hit me in the feels and now I can't stop asking: ""what is this?""",2020-02-18,2020-02-20,2020-02-18,Feb
The Bletchley Girls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429650129l/23398114.jpg,non-fiction,"code breaking, war",Dunlop,Tessa ,Tessa Dunlop,isbn    1444795716,asin,352,3.82,825,2015-01-08," edition      Jun 01, 2015",2,An ambitious attempt to tell the hidden stories of 15 women working to break German codes in the war. Too ambitious. 15 different storylines was way too many for this style of writing. The history was fascinating but found myself lost in the monitors my of details among 15 different lives.    ,2020-02-10,2020-02-17,2020-02-17,Feb
The Family Fang,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444101399l/10149142.jpg,literary fiction,"family, creativity, art",Wilson,Kevin ,Kevin Wilson,isbn    0061579033,asin,320,3.6,"25,890",2011-08-09, edition      Aug 2011,5,"Disorienting, bizarre, erratic and touching. I was surprised by The Family Fang in all of the best ways.",2020-02-03,2020-02-11,2020-02-03,Feb
The Overstory,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562786502l/40180098._SY475_.jpg,literary fiction,"trees, environmental activism, time",Powers,Richard ,Richard Powers,isbn    039335668X,asin,502,4.12,"81,477",2018-04-03," edition      Apr 02, 2019",5,"A truly breathtaking story—mythical, scientific, philosophical, and deeply moving. Powers weaves in so many facts about trees and forests that I often forgot I was reading fiction; the level of research, from how trees can speak to each other to adapting real protest events in the Northwest Timber Wars, makes the story even more compelling. I will never look at trees the same again.     ",2020-09-29,2020-10-20,2020-02-01,Oct
The Scarlet Letter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944l/12296.jpg,literary fiction,"guilt, shame, Puratinism",Hawthorne,Nathaniel ,Nathaniel Hawthorne,isbn    0142437263,asin,279,3.41,"713,861",1850-03-16," edition      Feb 27, 2003",1,"I get that it's a classic, but even so: this book was repetitive and uninspired. Themes were interesting but lacked the subtlety and delivery to make them impactful. My biggest takeaway is that Puritans were the worst.",2020-01-27,2020-02-08,2020-01-27,Feb
The Year of Living Danishly: Uncovering the Secrets of the World's Happiest Country,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453999472l/27991657.jpg,non-fiction,"culture, daily life, traditions",Russell,Helen ,Helen Russell,isbn    1511383593,asin,354,3.96,"19,864",2015-01-01," edition      Mar 22, 2016",4,"Funny, witty, and informative. Maybe should move to Denmark?",2020-01-25,2020-02-01,2020-01-25,Feb
An Artist of the Floating World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327786035l/28922.jpg,literary fiction,"memory, regret",Ishiguro,Kazuo ,Kazuo Ishiguro,isbn    0571225365,asin,206,3.77,"23,474",1905-06-08," edition      Mar 03, 2005",4,"A story of memory, loss, and looking back on a life lived with conviction, but at the wrong time.",2020-01-06,2020-01-13,2020-01-06,Jan
The Road,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424l/6288.jpg,literary fiction,"grief, loss, survival",McCarthy,Cormac ,Cormac McCarthy,isbn    0307265439,asin,241,3.97,"728,823",2006-09-26," edition      Oct 02, 2006",5,Dark and devastatingly beautiful.,2020-01-05,2020-01-05,2020-01-05,Jan
