"December 17, 2021 at 08:32AM","Making p5.js. They want us to think technology is a… | by Lauren Lee McCarthy | Processing Foundation | Nov, 2021 | Medium",Lauren Lee McCarthy Nov 29 · 4 min read They want us to think technology is a black box. Accept the terms of service. You can’t know what’s inside. You can’t…,https://medium.com/processing-foundation/making-p5-js-fd293ba91a32
"December 17, 2021 at 09:07AM",David Graeber’s Possible Worlds,"This article was featured in One Great Story , New York ’s reading recommendation newsletter. Sign up here to get it nightly. David Graeber in 1977. Photo:…",https://nymag.com/intelligencer/2021/11/david-graeber-dawn-of-everything.html
"December 17, 2021 at 09:09AM",I Set Out to Build the Next Library of Alexandria. Now I Wonder: Will There Be Libraries in 25 Years?,"W hen I started the Internet Archive 25 years ago, I focused our non-profit library on digital collections: preserving web pages, archiving television news, and…",https://time.com/6108581/internet-archive-future-books/
"January 7, 2022 at 09:20AM",Feeling Data: Aesthetic Empathy in Art and Science Collaborations – Mn Artists,"Essays 1-5-2022 Email Feeling Data: Aesthetic Empathy in Art and Science Collaborations Emily Dzieweczynski How the immersive, sensory experience of art opens…",https://mnartists.walkerart.org/feeling-data-aesthetic-empathy-in-art-and-science-collaborations
"January 11, 2022 at 08:58AM",The Smell of Paradox and the Disequilibrium of Loss – Mn Artists,Essays 8-13-2021 Email The Smell of Paradox and the Disequilibrium of Loss Kaya Lovestrand How the evocative sense of smell and the attentiveness of art can…,https://mnartists.walkerart.org/the-smell-of-paradox-and-the-disequilibrium-of-loss
"January 14, 2022 at 09:24AM",Lessons From Regenerative Agriculture For Home Gardeners,"Faith Givens Nov 11, 2018 · 9 min read Photo by Nikola Jovanovic on Unsplash Regenerative agriculture is a growing movement that seeks to restore soil health by…",https://medium.com/@faithgivens/regenerative-agriculture-home-gardening-2eb7614bc3c9
"January 18, 2022 at 09:22AM",Moleskine Foundation — Story,"Data can be used to describe the details of our daily lives, revealing the hidden patterns that make us who we are. Pentagram partner Giorgia Lupi explores her…",https://www.pentagram.com/work/moleskine-foundation/story
"January 18, 2022 at 09:35AM",Across the ASMRiverse,"It’s not a really secret, but I try not to advertise this. I watch ASMR . A lot. Sometimes in the evening, to wind down. Other times at night when I can’t…",https://erdavis.com/2022/01/12/across-the-asmriverse/
"January 20, 2022 at 08:40AM",Something Has to Give in the Housing Market. Or Does It?,https://www.nytimes.com/2022/01/20/upshot/home-prices-surging.html,https://www.nytimes.com/2022/01/20/upshot/home-prices-surging.html
"January 20, 2022 at 01:24PM",Tech and the fine art of complicity,"What are the opportunities for technology in the arts – and what threats does it pose? Knight Foundation, which recently launched an open call for ideas to use…",https://knightfoundation.org/articles/tech-and-the-fine-art-of-complicity/
