id,start_time,end_time,meters,service,calories,climb
79a10d79-ef50-11e9-b07f-06fe85f8df16,2019-10-15-12:47:41,2019-10-15-13:23:51,3755,strava,0,0
79a14a89-ef50-11e9-b082-06fe85f8df16,2019-10-13-21:57:26,2019-10-13-22:09:08,2854.7,strava,0,0
79a1878d-ef50-11e9-b084-06fe85f8df16,2019-10-13-21:20:08,2019-10-13-21:27:43,2785,strava,0,0
79a28cbb-ef50-11e9-b089-06fe85f8df16,2019-10-08-21:32:29,2019-10-08-21:47:42,4053.7,strava,0,0
79a2c2e2-ef50-11e9-b08a-06fe85f8df16,2019-10-08-14:48:26,2019-10-08-15:06:31,6222,strava,0,0
79a32425-ef50-11e9-b08b-06fe85f8df16,2019-10-08-12:06:26,2019-10-08-12:23:56,4874.1,strava,0,0
79a378b5-ef50-11e9-b08c-06fe85f8df16,2019-10-07-22:05:19,2019-10-07-22:18:33,3993.8,strava,0,0
79a3c15a-ef50-11e9-b08d-06fe85f8df16,2019-10-07-13:18:40,2019-10-07-13:34:34,3669,strava,0,0
79a4298a-ef50-11e9-b08e-06fe85f8df16,2019-10-06-19:41:11,2019-10-06-21:04:15,5115.7,strava,0,0
79a46d69-ef50-11e9-b08f-06fe85f8df16,2019-10-06-15:50:22,2019-10-06-16:03:58,3569.4,strava,0,0
79a4aecd-ef50-11e9-b090-06fe85f8df16,2019-10-05-18:54:52,2019-10-05-19:07:10,3552.5,strava,0,0
79a56277-ef50-11e9-b092-06fe85f8df16,2019-10-05-15:59:24,2019-10-05-16:10:06,3471.8,strava,0,0
79a59eab-ef50-11e9-b093-06fe85f8df16,2019-10-04-21:07:20,2019-10-04-21:32:52,4284.4,strava,0,0
79a5e280-ef50-11e9-b094-06fe85f8df16,2019-10-04-13:18:38,2019-10-04-13:30:36,3613.2,strava,0,0
79a62cce-ef50-11e9-b095-06fe85f8df16,2019-10-03-21:13:24,2019-10-03-21:30:30,4025,strava,0,0
79a71a9c-ef50-11e9-b097-06fe85f8df16,2019-09-30-16:29:12,2019-09-30-17:06:46,8521.2,strava,0,0
79a78804-ef50-11e9-b098-06fe85f8df16,2019-09-30-14:10:26,2019-09-30-14:28:12,4862.4,strava,0,0
79a858d6-ef50-11e9-b09c-06fe85f8df16,2019-09-28-20:06:19,2019-09-28-20:24:24,3584.1,strava,0,0
79a88e37-ef50-11e9-b09d-06fe85f8df16,2019-09-28-16:47:35,2019-09-28-17:03:20,3544.6,strava,0,0
79a8af69-ef50-11e9-b09f-06fe85f8df16,2019-09-27-23:37:55,2019-09-27-23:42:56,1439.9,strava,0,0
79a8d5ea-ef50-11e9-b0a1-06fe85f8df16,2019-09-27-14:02:24,2019-09-27-14:13:43,3575.2,strava,0,0
79a96857-ef50-11e9-b0a2-06fe85f8df16,2019-09-27-01:28:36,2019-09-27-01:59:44,10226.2,strava,0,0
79aa080a-ef50-11e9-b0a5-06fe85f8df16,2019-09-26-19:34:59,2019-09-26-20:17:04,7659.3,strava,0,0
79aa590d-ef50-11e9-b0a6-06fe85f8df16,2019-09-26-15:15:16,2019-09-26-15:27:31,3602.1,strava,0,0
0c40d9ed-ef4c-11e9-9ee4-06fe85f8df16,2019-09-25-21:53:37,2019-09-25-22:05:37,3973,strava,0,0
5a920087-ee00-11e9-85df-06fe85f8df16,2019-09-25-12:35:33,2019-09-25-12:47:50,3579,strava,0,0
98450409-ecfb-11e9-907b-06fe85f8df16,2019-09-24-22:35:18,2019-09-24-23:27:04,5674.1,strava,0,0
2a362007-ecf5-11e9-99a6-06fe85f8df16,2019-09-24-13:15:21,2019-09-24-13:26:55,3573.6,strava,0,0
db5313dd-ec38-11e9-a61e-06fe85f8df16,2019-09-23-22:47:13,2019-09-23-23:03:17,4372.4,strava,0,0
4ae1f8de-ea15-11e9-baa3-06fe85f8df16,2019-09-23-12:43:15,2019-09-23-12:55:10,3601,strava,0,0
8310e878-e9fb-11e9-a99b-06fe85f8df16,2019-09-22-18:14:45,2019-09-22-18:27:35,3544.4,strava,0,0
09fbce08-e98a-11e9-a287-06fe85f8df16,2019-09-22-15:36:43,2019-09-22-15:51:23,3550.2,strava,0,0
67699565-e93d-11e9-8c37-06fe85f8df16,2019-09-22-12:51:22,2019-09-22-13:02:20,2127.9,strava,0,0
e8a488b2-e87c-11e9-b8d0-06fe85f8df16,2019-09-21-21:10:29,2019-09-21-22:03:09,9141.5,strava,0,0
f706b868-e852-11e9-89f0-06fe85f8df16,2019-09-21-17:35:39,2019-09-21-18:27:44,9167.2,strava,0,0
20f894fd-e848-11e9-9953-06fe85f8df16,2019-09-20-21:37:19,2019-09-20-21:49:31,3968.8,strava,0,0
2017aad0-e79d-11e9-b3cd-06fe85f8df16,2019-09-20-18:40:51,2019-09-20-18:58:50,4463.9,strava,0,0
b0c59b92-e78a-11e9-8b58-06fe85f8df16,2019-09-20-13:41:43,2019-09-20-14:31:47,8046.4,strava,0,0
9c6c6bfa-e6cf-11e9-9e01-06fe85f8df16,2019-09-19-21:29:01,2019-09-19-21:43:19,3791.8,strava,0,0
